     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         8,         0,   0.141,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        16,         0,   0.149,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        15,         0,   0.191,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        15,         0,   0.180,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        14,         0,   0.143,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        27,         0,   0.282,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       400,        29,         0,   0.349,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        31,         0,   0.307,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      3200,       162,         0,    1.48,bplsd,b14ed621e9c3bb1301636140c666e94026808754b4e4fa0e2b85504b29c0cbb6,"{""d"":5,""p"":0.007,""rounds"":5}",
      3200,       108,         0,    2.41,bposd,bed63f50f4d7ba8e0597e23b551b7d57494a852bbe36fcf19478e86249666ae2,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,        40,         0,   0.510,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       800,        65,         0,   0.739,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       400,        31,         0,   0.360,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      2400,       129,         0,    2.47,belief_find,eb07130ce3cb5b71bcdf2de3d67e40477be50f4f4d337c26886ac6449ea4f635,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,        50,         0,   0.709,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      2800,       136,         0,    2.77,belief_find,eb07130ce3cb5b71bcdf2de3d67e40477be50f4f4d337c26886ac6449ea4f635,"{""d"":5,""p"":0.007,""rounds"":5}",
      1200,        84,         0,    1.05,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      1000,        86,         0,   0.618,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       500,        35,         0,   0.277,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      1000,        89,         0,   0.652,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       800,        54,         0,   0.695,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       900,        87,         0,    1.04,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      1000,        88,         0,    1.17,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      2000,       152,         0,    1.56,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      1400,       120,         0,    1.36,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      3000,       228,         0,    1.27,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      3200,       238,         0,    2.14,bposd,3f20e95edaf2a47925d135cb521ef2af88e5f44b572ebc573668f77bbfecf5f7,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      4000,       332,         0,    1.57,bplsd,f2eb9ad97c60e30386b2e2b3dda76c245e32b5138e5135f175754195c7bfa5c0,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      2200,       190,         0,    2.05,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
      3400,       328,         0,    2.72,belief_find,cfb0d0fcb1485b110b6711cdc05444de3a9c8446dd1450006446761cb11a1028,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
