     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.622,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
      9000,        35,         0,    11.4,bplsd,f60815431e6e3eeac41c1dd019e247b9e25908c10b6e3e6847ff990d26fd0aab,"{""d"":7,""p"":0.003,""rounds"":7}",
      1200,         0,         0,    8.98,bposd,92988a19b036274bc5ddd25ca94664acb578668f2740a26f13e273d87fd50d08,"{""d"":9,""p"":0.003,""rounds"":9}",
       200,         1,         0,   0.846,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
       200,         0,         0,    1.23,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
      1200,         2,         0,    8.98,bposd,92988a19b036274bc5ddd25ca94664acb578668f2740a26f13e273d87fd50d08,"{""d"":9,""p"":0.003,""rounds"":9}",
       600,         3,         0,    4.93,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
       600,         1,         0,    2.13,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
      1000,         2,         0,    3.71,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
       900,         1,         0,    3.52,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
       900,         1,         0,    7.09,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
      1000,         3,         0,    7.99,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
      2400,         2,         0,    17.6,bposd,92988a19b036274bc5ddd25ca94664acb578668f2740a26f13e273d87fd50d08,"{""d"":9,""p"":0.003,""rounds"":9}",
      2400,         4,         0,    17.8,bposd,92988a19b036274bc5ddd25ca94664acb578668f2740a26f13e273d87fd50d08,"{""d"":9,""p"":0.003,""rounds"":9}",
      1400,        12,         0,    10.9,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
      4200,         9,         0,    14.6,bplsd,31fb0858dfe959a1d4193225809c7277cd9e6736aba5ab5aa9c7515d29dbc652,"{""d"":9,""p"":0.003,""rounds"":9}",
      2200,        11,         0,    17.2,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
       887,         4,         0,    7.18,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
      1400,        10,         0,    11.1,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
       100,         2,         0,   0.104,bposd,2167ca65e894a55566d979b99d3d74149cf1ee07a075da17bd3b5e4b2bb8c544,"{""d"":5,""p"":0.005,""rounds"":5}",
       200,         2,         0,   0.201,bposd,2167ca65e894a55566d979b99d3d74149cf1ee07a075da17bd3b5e4b2bb8c544,"{""d"":5,""p"":0.005,""rounds"":5}",
       600,         6,         0,   0.443,bposd,2167ca65e894a55566d979b99d3d74149cf1ee07a075da17bd3b5e4b2bb8c544,"{""d"":5,""p"":0.005,""rounds"":5}",
       350,         2,         0,    3.17,belief_find,f6e3eef02fb0802cdfe9b6eb430c7510e949ef4888b1dc8a5bc707a7c8c88878,"{""d"":9,""p"":0.003,""rounds"":9}",
