     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        59,         0,         0,   0.075,bplsd,06ffa7d1e91f7e0223a2b4baab7b21634c060d52b266719aa1f0c2ae4ab534b5,"{""d"":5,""p"":0.005,""rounds"":5}",
      2400,         9,         0,    19.7,belief_find,0637b8ea7962bd637755ee6a6b474c8513fa851bc8e65e92d91cdbca4e5be56c,"{""d"":9,""p"":0.003,""rounds"":9}",
       501,         7,         0,   0.317,bplsd,06ffa7d1e91f7e0223a2b4baab7b21634c060d52b266719aa1f0c2ae4ab534b5,"{""d"":5,""p"":0.005,""rounds"":5}",
        66,         4,         0,   0.058,bplsd,06ffa7d1e91f7e0223a2b4baab7b21634c060d52b266719aa1f0c2ae4ab534b5,"{""d"":5,""p"":0.005,""rounds"":5}",
       146,         5,         0,   0.120,bplsd,06ffa7d1e91f7e0223a2b4baab7b21634c060d52b266719aa1f0c2ae4ab534b5,"{""d"":5,""p"":0.005,""rounds"":5}",
       300,         5,         0,    1.05,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
       600,         9,         0,    2.01,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
       600,        10,         0,    2.03,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
      3000,         2,         0,    17.7,bplsd,62f20e98e723bf0eefcc7eee19fd018397d5e4ff7939cd299dd367991237abd2,"{""d"":9,""p"":0.003,""rounds"":9}",
       100,         5,         0,   0.526,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
      2897,        25,         0,    23.0,belief_find,0637b8ea7962bd637755ee6a6b474c8513fa851bc8e65e92d91cdbca4e5be56c,"{""d"":9,""p"":0.003,""rounds"":9}",
      1200,        21,         0,    3.83,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
       100,         1,         0,   0.531,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
       200,         8,         0,    1.01,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
       200,         8,         0,   0.939,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
      1470,        26,         0,    4.70,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
       100,         1,         0,   0.367,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       400,        13,         0,    1.63,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
       200,         6,         0,   0.692,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       172,         7,         0,   0.841,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
       800,        33,         0,    3.19,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
      4800,         6,         0,    36.5,bposd,bf0e4d64da6872765b0f81a694c7e7850f23400e46077cb03bb782e063efd5df,"{""d"":9,""p"":0.003,""rounds"":9}",
      2400,        40,         0,    7.47,bposd,fefb3f14d376bbcfc3afa872c5180f0422ceba1d0ef8dc0750e90396b0db31b5,"{""d"":7,""p"":0.005,""rounds"":7}",
       891,        30,         0,    3.65,belief_find,828ed6b109165e999723a64c2c764a9579180c9474914f6c1e5f3131892291c9,"{""d"":7,""p"":0.005,""rounds"":7}",
       600,        13,         0,    1.78,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
